ID	First_Author	Year	Country	Habitat	Latitude	Longitude	Variable	Depth_Control	n	h	Tp	B	hv	D	f	alpha	X	HsC	HsCErr	HsT	HsTErr	WEffSize	R	r	Fx	RFx	Hsdeep	SSmean	TideRange	RSLR8.5	Source_Text
16	Ford	2013	Marshall_Islands	CRF	7.118544	171.185847	Hs	No	20	1.08	13	55	NaN	NaN	NaN	0.425925926	0.208337103	0.46	0.12	0.44	0.13	-0.142352693	0.043478261	0.000790514	NaN	NaN	1.801549243	1.079219367	2.006924755	0.664596952	fig_8
17	Mandlier	2013	Maldives	CRF	4.868422	72.997745	Hs	No	5	1.4	10	173	NaN	NaN	NaN	0.242857143	1.107482161	0.34	0.1	0.28	0.09	-0.588300497	0.176470588	0.001020061	NaN	NaN	1.003284598	0.51507599	1.173559253	0.664200498	fig_4c
18	Mandlier	2013	Maldives	CRF	0.350269	73.538188	Hs	No	5	1.8	10	146	NaN	NaN	NaN	0.1	0.934638124	0.18	0.04	0.19	0.03	0.170148018	-0.055555556	-0.000380518	NaN	NaN	1.312513247	0.650123346	1.272914414	0.661149223	fig_4d
19	Ogawa	2013	New_Zealand	CRF	-36.603441	174.70932	Hmo	No	6	1.6	7	35	NaN	NaN	NaN	0.46875	0.457259356	0.75	0.19	0.22	0.04	-3.846462214	0.706666667	0.020190476	NaN	NaN	2.281384019	1.381662669	2.686531781	0.679235809	figs_4_6
20	Lugo-Fernandez	1998	USA	CRW	17.75686667	-64.70662778	Hs	No	8	1.2	10	225	NaN	NaN	NaN	0.475	1.440366972	0.57	0.07	0.18	0.04	-3.719062453	0.684210526	0.003040936	NaN	NaN	1.343180131	0.198956901	0.441511442	0.663478922	fig_7
21	Lowe	2005	USA	CRW	21.46237222	-157.810075	Hrms	No	5	1.6	8	700	NaN	NaN	0.28	0.94375	7.001783894	1.51	0.13	0.21	0.07	-6.300908449	0.860927152	0.001229896	NaN	NaN	1.639115003	0.539406375	1.012415058	0.643505879	fig_5
22	Storlazzi	2004	USA	CRW	21.06532	-157.001772	Hs	No	15	1.2	8.66	750	NaN	NaN	NaN	0.266666667	6.401630989	0.32	0.09	0.06	0.03	-5.344490789	0.8125	0.001083333	NaN	NaN	1.639115003	0.564831449	0.983857487	0.643505879	fig_4
23	Kench	2006	Australia	CRW	-12.178498	96.8159	H	No	8	0.5	NaN	100	NaN	NaN	NaN	2	NaN	1	0.1	0.047	0.0047	-9.952895739	0.953	0.00953	NaN	NaN	2.297295446	0.763355834	1.258792121	0.68044416	tab_3
24	Kench	2006	Australia	CRW	-12.178498	96.8159	H	No	9	0.3	NaN	1100	NaN	NaN	NaN	3.333333333	NaN	1	0.1	0.003	0.0003	-18.70022658	0.997	0.000906364	NaN	NaN	2.297295446	0.763355834	1.258792121	0.68044416	tab_3
25	Kench	2006	Australia	CRW	-12.178498	96.8159	H	No	5	0.05	NaN	2700	NaN	NaN	NaN	20	NaN	1	0.1	0.1035	0.01	-7.384969897	0.8965	0.000332037	NaN	NaN	2.297295446	0.763355834	1.258792121	0.68044416	tab_3
26	Kench	2006	Australia	CRW	-12.178498	96.8159	H	No	5	0.85	NaN	392	NaN	NaN	NaN	1.176470588	NaN	1	0.1	0.1735	0.017	-5.704402585	0.8265	0.002108418	NaN	NaN	2.297295446	0.763355834	1.258792121	0.68044416	tab_3
27	Kench	2006	Australia	CRW	-12.178498	96.8159	H	No	5	0.75	NaN	58	NaN	NaN	NaN	1.333333333	NaN	1	0.1	0.53	0.053	-2.068144654	0.47	0.008103448	NaN	NaN	2.297295446	0.763355834	1.258792121	0.68044416	tab_3
28	Pequignet	2011	Guam	CRW	13.43736944	144.7925778	Hs	No	50	0.6	6.82	530	NaN	NaN	0.13	2.1	7.304260958	1.26	0.69	0.04	0.02	-11.0174098	0.968253968	0.001826894	NaN	NaN	1.837431122	0.355275827	1.029948036	0.660298601	fig_5
29	Pomeroy	2010	Australia	CRW	-22.20418333	113.8409028	Hrms	No	10	1.5	14.65	1141	NaN	NaN	0.06	0.82	0.882002492	1.23	0.55	0.12	0.07	-7.030627026	0.902439024	0.000790919	NaN	NaN	1.380726559	0.834688559	1.591717126	0.636011382	figs_3_8
30	Huang	2012	Australia	CRW	-24.112885	152.714014	Hs	No	15	0.7	7.38	300	NaN	NaN	NaN	2.2	3.528009967	1.54	0.53	0.22	0.08	-6.14282942	0.857142857	0.002857143	NaN	NaN	1.577744835	1.340306158	2.341799409	0.668739922	fig_4
31	Jeanson	2013	Mayotte	CRW	-12.996665	45.16286	Hs	No	5	0.71	5.01	310	NaN	NaN	NaN	1.112676056	7.903248134	0.79	0.33	0.21	0.09	-3.790326494	0.734177215	0.002368314	NaN	NaN	1.095217033	2.123573013	3.980814677	0.710413083	figs_4_6c_7b
32	Jeanson	2013	Mayotte	CRW	-12.724435	45.196878	Hs	No	5	0.55	NaN	310	NaN	NaN	NaN	1.363636364	NaN	0.75	0.56	0.14	0.13	-3.792318571	0.813333333	0.002623656	NaN	NaN	1.095217033	2.074709904	3.87989979	0.710413083	figs_4_6c_7b
33	Filipot	2012	USA	CRW	21.583283	-158.208478	Hs	No	192	5	13	1000	NaN	NaN	NaN	0.334	3.787947331	1.67	0.59	0.37	0.08	-4.898159731	0.778443114	0.000778443	NaN	NaN	2.151664183	0.520282964	0.863773456	0.646122755	fig_8
61	Christianen	2013	Indonesia	CRW	2.312071	118.100214	Hs	No	650	1.26	5.5	617	0.05	NaN	0.03	0.03968254	13.05721098	0.4	0.12	0.23	0.19	-1.800670165	0.425	0.000688817	NaN	NaN	0.539046997	1.501635206	2.777105156	0.606257536	tab_1
36	Brinkman	2006	Australia	MG	-19.27861111	146.8461111	Hs	No	19	1.2	4.7	260	1.1	25	0.9625	0.92	7.53473996	0.04	0.01	0.02	0.002	-29.83988331	0.5	0.001923077	80	-5.56	NaN	1.867816005	3.372338051	0.628379829	figs_5_8_p23_p34
37	Brinkman	2006	Australia	MG	-19.27916667	146.985	Hs	No	21	1	4.7	80	1.1	25	0.9625	1.1	2.318381526	0.15	0.05	0.05	0.02	-42.89553876	0.666666667	0.008333333	20	30	NaN	1.867816025	3.372338048	0.628379829	figs_5_8_tab_5pt2_p34
38	Brinkman	2006	Japan	MG	24.39583333	123.8138889	Hs	No	14	0.8	6	50	1.1	25	0.9625	1.375	0.889115415	0.06	0.02	0.05	0.01	-6.507126992	0.166666667	0.003333333	20	73.5	1.820816339	0.900356812	2.004378249	0.657179479	figs_5_8_tab_5-3_p34
39	Narra	2012	Thailand_Kantang	MG	7.367777778	99.47222222	Hs	No	8	1.6	6.25	242	1	NaN	NaN	0.625	3.96593843	0.039541	0.0242	0.0283	0.0182	-4.910848137	0.284920139	0.001177356	39	3.98	0.605179346	1.6664309	3.230963007	0.577563284	fig_26_tabs_7_16
40	Narra	2012	Thailand_Palian	MG	7.056388889	99.68944444	Hs	No	10	2.2	8.5	106	1	NaN	NaN	0.454545455	0.939201225	0.068234	0.0104	0.0352	0.0116	-29.31029895	0.484784135	0.004573435	16	8.5	0.614350151	1.538578766	2.980155447	0.577563284	fig_20_tabs_7_16
41	Quartel	2007	Vietnam	MG	20.69	106.7919444	Hrms	Yes	8	1.65	5	31.8	NaN	NaN	1.475	NaN	0.814287462	0.187038	0.0493	0.1801	0.0491	-0.118830362	0.037003176	0.001163622	NaN	NaN	NaN	2.175591459	4.113676788	0.543759022	figs_3_5_6
42	VoLuong	2006	Vietnam	MG	10.38444444	106.8688889	Hs	No	3	1.9	0.66	88	NaN	NaN	NaN	NaN	129.3258786	0.379937	0.0438	0.1493	0.0474	-2.952376836	0.607068607	0.006898507	20	62.5	1.091941385	1.86105146	4.523266851	0.570474833	figs_3_5_p29
43	VoLuong	2006	Vietnam	MG	10.38444444	106.8688889	Hs	No	3	2.1	0.66	88	NaN	NaN	NaN	NaN	129.3258786	0.381935	0.0323	0.1742	0.0718	-2.460214818	0.544004289	0.006181867	20	50	1.091941385	1.86105146	4.523266851	0.570474833	figs_3_5_p29
44	VoLuong	2006	Vietnam	MG	10.38444444	106.8688889	Hs	No	3	2.5	0.66	88	NaN	NaN	NaN	NaN	129.3258786	0.38731	0.0214	0.2198	0.0567	-1.810446322	0.432422441	0.004913891	40	50	1.091941385	1.86105146	4.523266851	0.570474833	figs_3_5_p29
45	Mazda	1997	Vietnam	MG	20.57	106.5908333	1-Hs/Hs0	No	45	1.1	5	100	0.1	NaN	0.01	0.090909091	2.560652396	1	0.0518	0.9455	0.0184	-0.182408707	0.054462	0.00054462	NaN	NaN	NaN	2.175599939	4.113656339	0.543759022	fig_6b
46	Mazda	1997	Vietnam	MG	20.57	106.5908333	1-Hs/Hs0	No	41	1.1	5	100	0.4	NaN	0.05	0.363636364	2.560652396	1	0.0518	0.8819	0.0214	-5.368880003	0.11813	0.0011813	NaN	NaN	NaN	2.175599939	4.113656339	0.543759022	fig_6b
47	Mazda	1997	Vietnam	MG	20.57	106.5908333	1-Hs/Hs0	No	68	1.1	5	100	1	NaN	0.08	0.909090909	2.560652396	1	0.0518	0.8186	0.0174	-12.04659986	0.18144	0.0018144	NaN	NaN	NaN	2.175599939	4.113656339	0.543759022	fig_6b
48	Mazda	2006	Vietnam	MG	20.65611111	106.6858333	Hs	Yes	31	1.2	10	100	0.8	0.08	0.01	0.666666667	0.640163099	0.103283	0.0445	0.0903	0.0622	-19.19874937	0.125820279	0.001258203	NaN	NaN	NaN	2.175593849	4.113672026	0.543759022	fig_7
49	Bao	2011	Vietnam	MG	20.97333333	107.2044444	Hs	No	4	NaN	NaN	100	1.6	0.75	0.05	NaN	NaN	0.30747	0.1744	0.1059	0.0317	-2.733861764	0.655457434	0.006554574	20	22	NaN	2.369805217	4.435798208	0.548253268	fig_3
58	Paul	2011	UK	SG	50.73444444	-1.151388889	Hs	No	4	NaN	3.815	300	0.1225	1906.25	NaN	NaN	18.76329898	0.0625	0.001	0.0481	0.0084	-3.735848153	0.2304	0.000768	NaN	NaN	NaN	3.43073482	6.251387709	0.542782082	figs_7_9_tab1_tab2
59	Infantes	2012	Spain	SG	39.591918	3.38635	Hrms	Yes	12	NaN	7	942	0.8	615	NaN	NaN	12.30680896	0.970965	0.0144	0.4935	0.0579	-2.200372577	0.491695375	0.00052197	NaN	NaN	NaN	0.12058821	0.213075675	0.634565808	figs_4_5
60	Infantes	2012	Spain	SG	39.591918	3.38635	Hrms	Yes	9	NaN	7	942	0.8	615	NaN	NaN	12.30680896	0.954165	0.0059	0.6362	0.0736	-1.316416304	0.333232722	0.00035375	NaN	NaN	NaN	0.12058821	0.213075675	0.634565808	figs_4_5
62	Mork	1996	Norway	SG	63.020885	7.227415	E/E0	No	2	NaN	12	258	1.6	25	0.8	NaN	1.146958885	1	0.1	0.4745	0.0004	-2.428776506	0.5255	0.002036822	NaN	NaN	NaN	NaN	NaN	NaN	fig_2a_fig_2b
63	Elwany	1995	USA	SG	33.157295	-117.362035	Hs/Hs0	Yes	67	10	12	350	NaN	0.28	NaN	NaN	1.555951976	0.15	0.015	0.1425	0.14	-0.166000519	0.05	0.000142857	NaN	NaN	1.225248434	1.296283715	2.599909304	0.577992257	fig_6
69	Bradley	2009	USA	SG	30.354261	-87.030182	Hs	No	46	0.94	0.8	43.3	0.275	1100	NaN	0.2925	4.33	0.093	0.005	0.063	0.0124	-6.439747037	0.324034335	0.007483472	NaN	NaN	NaN	NaN	NaN	NaN	fig_2_tab_1
34	Lovstedt	2010	Sweden	SM	55.7	13.46666667	Hrms	No	7	0.41	1	4.5	2	10.89	NaN	4.87804878	2.880733945	0.05	0.005	0.0389	0.0608	-0.784089764	0.22222	0.049382222	NaN	NaN	NaN	0.049068999	0.090119464	0.452093832	figs_5_6_tab_1_p_226
35	Lovstedt	2010	Sweden	SM	55.7	13.46666667	Hrms	No	8	1.3	0.8	9	2	13.33	NaN	1.538461538	9.002293578	0.03	0.003	0.0208	0.0597	-1.120425381	0.307833333	0.034203704	NaN	NaN	NaN	0.049068999	0.090119464	0.452093832	figs_5_6_tab_1_p_226
50	Cooper	2005	UK	SM	53.01611111	0.208888889	H/Ho	Yes	77	3.65	16	425	0.08	270	NaN	0.021917808	1.06277077	0.116942	0.038	0.0163	0.0805	-6.281901701	0.860426536	0.002024533	NaN	NaN	1.19028651	4.080895593	7.848362347	0.5974083	figs_5_6_tabs_5_6_7_p36
51	Moller	2002	UK	SM	51.68222222	0.9425	Hs/Hs0	Yes	19	0.68	2.64	163	NaN	NaN	NaN	NaN	14.97167486	0.168726	0.003	0.0216	0.0105	-6.695766141	0.872179258	0.005350793	10	54	0.995664312	2.371835364	4.610253922	0.641750772	fig_6_p_512
52	Moller	2002	UK	SM	51.68222222	0.9425	Hs/Hs0	Yes	23	0.65	2.82	10	NaN	NaN	NaN	NaN	0.804993585	0.261214	0.574	0.0697	0.006	-2.556873262	0.733333333	0.073333333	10	66.2	0.995664312	2.371835364	4.610253922	0.641750772	fig_6_p_512
53	Moller	1999	UK	SM	52.96777778	0.903611111	Hs	Yes	73	1.39	3.86	378	NaN	105	NaN	NaN	16.24081528	0.245659	0.0988	0.1132	0.1641	-2.479537118	0.539133514	0.001426279	NaN	NaN	1.069537593	3.26451358	6.324187568	0.596184849	tab_2
54	Knutson	1982	USA	SM	37.2800167	-76.0278639	Hs/Hs0	No	14	NaN	NaN	30	NaN	NaN	NaN	NaN	NaN	0.18	0.0122	0.01	0.0055	-18.46262933	0.944444444	0.031481481	2.5	40	1.295736156	0.733797879	1.370844839	0.910932839	tab_2
55	Chung	2006	China	SM	38.725	117.5480556	Hs/Hs0	No	2	NaN	NaN	20	3.5	0.08	NaN	NaN	NaN	1	0.1	0.3465	0.019	-6.961669925	0.6535	0.002375	10	55	0.603718777	0.833230887	1.641793948	0.471609659	sct_3113
56	BCDC	2013	USA	SM	37.72027778	-122.3197222	Hs	No	5	0.820	2.5	152	NaN	NaN	NaN	NaN	15.52	0.303	0.0303	0.03	0.003	-3.843495336	0.900990099	0.005946535	NaN	NaN	2.273418262	1.340634662	2.812707108	0.587549485	fig_4_1_sct411
57	Morgan	2009	USA	SM	43.40666667	-70.54138889	Hs	Yes	3	0.85	NaN	7	2.75	172	NaN	3.235294118	NaN	0.077114	0.0332	0.0471	0.1027	-1.110664848	0.38877506	0.055539294	NaN	NaN	NaN	2.016154686	3.981957128	0.493694469	fig_9_p486
64	Ysebaert	2013	China	SM	31.5336	121.9667	Hs	No	15	1.4	NaN	30	0.84	1.737	NaN	0.6	NaN	0.5	0.05	0.3	0.02	-0.510825624	0.6	0.013333333	NaN	NaN	NaN	NaN	NaN	NaN	tab_1_tab_2_fig_3a
65	Yang	2009	China	SM	31.5	122	Hs	No	39	1.22	NaN	27.5	0.97	2.54	NaN	0.795	NaN	0.162	0.071	0.1	0.062	-0.482426149	0.6173	0.013916947	NaN	NaN	NaN	NaN	NaN	NaN	fig_3a
66	Vuik	2015	Netherlands_Hellegat	SM	51.45	4.2	Hs	No	30	1.28	NaN	50	0.26	2.25	NaN	0.203	NaN	0.63	0.063	0.2457	0.025	-0.9416	0.39	0.0122	NaN	NaN	NaN	NaN	NaN	NaN	tab_1
67	Vuik	2015	Netherlands_Bath	SM	51.4	4.21	Hs	No	29	1.02	NaN	50	0.22	3.85	NaN	0.216	NaN	0.49	0.049	0.1568	0.016	-1.1394	0.32	0.0136	NaN	NaN	NaN	NaN	NaN	NaN	tab_1
68	Vuik	2015	Netherlands_Groningen	SM	51.4	4.21	Hs	No	4	1.33	NaN	300	NaN	NaN	NaN	NaN	NaN	0.68	0.068	0.265	0.026	-1.6113	0.610294118	0.610294118	0.002034314	NaN	NaN	NaN	NaN	NaN	tab_1
